Project Number,year,papersNum
5R01GM102265-04,4,0
5R01ES022302-02,2,1
2R01DC006283-11,11,7
5R01GM058443-16,16,0
5R01AI089953-05,5,0
5R01CA179556-02,2,0
5R01CA168488-03,3,0
5R01EY024354-02,2,1
1R01CA186729-01A1,1,0
5R01AG042611-03,3,9
1R01GM114119-01,1,0
5R01AG047101-03,3,0
1R01DC014261-01A1,1,0
1R01HL122847-01A1,1,0
5R01HL120879-02,2,0
5R01EY023709-03,3,1
5R01NS035812-19,19,0
2R01DA024022-06A1,6,0
5R01NS066037-06,6,0
5R01HD076676-02,2,0
5R01GM019629-42,42,0
1R01HL122560-01A1,1,0
5R01GM094306-05,5,1
5R01NS078326-04,4,0
2R01NS063964-06A1,6,10
5R01GM075060-08,8,2
5R01HD084215-02,2,0
5R01AR059687-05,5,1
2R01NS065053-06A1,6,3
5R01NS062047-07,7,1
2R01CA141661-06,6,1
5R01MH093306-05,5,2
5R01AI040877-19,19,0
5R01AG043375-04,4,4
5R01EY019100-06,6,4
3R01ES021100-04S1,4,5
3R01CA140522-05S2,5,7
1R01AI112844-01A1,1,0
5R01CA123391-10,10,3
5R01HL109502-04,4,4
5R01AI104972-03,3,1
